system:time_start,SST
"Jun 21, 2021",
"Jun 22, 2021",
"Jun 23, 2021",
"Jun 24, 2021",
"Jun 25, 2021",
"Jun 26, 2021",
"Jun 27, 2021",
"Jun 28, 2021",
"Jun 29, 2021",
"Jun 30, 2021",
"Jul 1, 2021",
"Jul 2, 2021",
"Jul 3, 2021",
"Jul 4, 2021",29.412
"Jul 5, 2021",
"Jul 6, 2021",
"Jul 7, 2021",
"Jul 8, 2021",
"Jul 9, 2021",
"Jul 10, 2021",
"Jul 11, 2021",28.592
"Jul 12, 2021",
"Jul 13, 2021",
"Jul 14, 2021",
"Jul 15, 2021",29.709
"Jul 16, 2021",
"Jul 17, 2021",
"Jul 18, 2021",
"Jul 19, 2021",
"Jul 20, 2021",
"Jul 21, 2021",
"Jul 22, 2021",
"Jul 23, 2021",
"Jul 24, 2021",
"Jul 25, 2021",
"Jul 26, 2021",
"Jul 27, 2021",29.141
"Jul 28, 2021",
"Jul 29, 2021",
"Jul 30, 2021",28.338
"Jul 31, 2021",29.558
"Aug 1, 2021",
"Aug 2, 2021",
"Aug 3, 2021",
"Aug 4, 2021",
"Aug 5, 2021",
"Aug 6, 2021",
"Aug 7, 2021",
"Aug 8, 2021",
"Aug 9, 2021",
"Aug 10, 2021",
"Aug 11, 2021",
"Aug 12, 2021",
"Aug 13, 2021",
"Aug 14, 2021",
"Aug 15, 2021",
"Aug 16, 2021",
"Aug 17, 2021",
"Aug 18, 2021",28.98
"Aug 19, 2021",
"Aug 20, 2021",
"Aug 21, 2021",
"Aug 22, 2021",29.581
"Aug 23, 2021",
"Aug 24, 2021",
"Aug 25, 2021",
"Aug 26, 2021",
"Aug 27, 2021",
"Aug 28, 2021",
"Aug 29, 2021",
"Aug 30, 2021",
"Aug 31, 2021",
"Sep 1, 2021",29.286
"Sep 2, 2021",
"Sep 3, 2021",
"Sep 4, 2021",
"Sep 5, 2021",
"Sep 6, 2021",29.037
"Sep 7, 2021",
"Sep 8, 2021",
"Sep 9, 2021",
"Sep 10, 2021",
"Sep 11, 2021",
"Sep 12, 2021",
"Sep 13, 2021",
"Sep 14, 2021",29.314
"Sep 15, 2021",
"Sep 16, 2021",
"Sep 17, 2021",
"Sep 18, 2021",
"Sep 19, 2021",
"Sep 20, 2021",
"Sep 21, 2021",
"Sep 22, 2021",
"Sep 23, 2021",
"Sep 24, 2021",27.607
"Sep 25, 2021",29.861
"Sep 26, 2021",
"Sep 27, 2021",
"Sep 28, 2021",
"Sep 29, 2021",
"Sep 30, 2021",
"Oct 1, 2021",
"Oct 2, 2021",30.15
"Oct 3, 2021",
"Oct 4, 2021",
"Oct 5, 2021",
"Oct 6, 2021",
"Oct 7, 2021",
"Oct 8, 2021",
"Oct 9, 2021",
"Oct 10, 2021",
"Oct 11, 2021",
"Oct 12, 2021",
"Oct 13, 2021",
"Oct 14, 2021",
"Oct 15, 2021",
"Oct 16, 2021",
"Oct 17, 2021",
"Oct 18, 2021",28.743
"Oct 19, 2021",
"Oct 20, 2021",
"Oct 21, 2021",
"Oct 22, 2021",
"Oct 23, 2021",
"Oct 24, 2021",
"Oct 25, 2021",28.141
"Oct 26, 2021",
"Oct 27, 2021",
"Oct 28, 2021",
"Oct 29, 2021",
"Oct 30, 2021",
"Oct 31, 2021",
"Nov 1, 2021",
"Nov 2, 2021",
"Nov 3, 2021",
"Nov 4, 2021",
"Nov 5, 2021",
"Nov 6, 2021",
"Nov 7, 2021",
"Nov 8, 2021",
"Nov 9, 2021",
"Nov 10, 2021",
"Nov 11, 2021",
"Nov 12, 2021",
"Nov 13, 2021",28.242
"Nov 14, 2021",
"Nov 15, 2021",
"Nov 16, 2021",28.393
